index,key_suffix,name,display_name,hex,L,a,b
197,c197,Mad for Mango,Mad for Mango,#f8a200,0.779093,0.052920,0.158646
198,c198,Envy’s Love,Envy’s Love Green,#2dd78d,0.779245,-0.158467,0.062737
199,c199,Gold Tooth,Gold Tooth,#dbb40c,0.781856,-0.008011,0.158134
200,c200,Limonana,Limonana Green,#11dd66,0.785067,-0.186133,0.109498
201,c201,Creamy Peach,Creamy Peach,#f4a384,0.788012,0.079035,0.070460
202,c202,Animal Kingdom,Animal Kingdom Yellow,#bcc09e,0.795630,-0.018124,0.042883
203,c203,Roseate Spoonbill,Roseate Spoonbill,#e0adc4,0.800754,0.065383,-0.011635
204,c204,King Lizard,King Lizard Green,#77dd22,0.803966,-0.160921,0.159209
205,c205,Prosciutto,Prosciutto Orange,#e0b4a4,0.804989,0.042342,0.036723
206,c206,Purple Illusion,Purple Illusion,#b8b8f8,0.805341,0.022075,-0.087255
207,c207,Strawberry Frappé,Strawberry Frappé,#ffa2aa,0.807313,0.107380,0.027257
208,c208,Enchanted Emerald,Enchanted Emerald,#7ed89a,0.809479,-0.110262,0.056659
209,c209,Water Nymph,Water Nymph Cyan,#81d0df,0.811942,-0.068919,-0.041352
210,c210,Crisps,Crisps Yellow,#e2bd67,0.813188,0.006873,0.113169
211,c211,Plein Air,Plein Air Gray,#b9c4d2,0.816135,-0.006215,-0.022284
212,c212,Golden Harvest,Golden Harvest,#cccc11,0.818417,-0.059350,0.165505
213,c213,Cabbage,Cabbage Green,#87d7be,0.820409,-0.086118,0.011761
214,c214,Apricot,Apricot,#ffb16d,0.821380,0.060635,0.108600
215,c215,Clear Sky,Clear Sky,#8eccfe,0.821546,-0.042263,-0.085205
216,c216,Satin Lime,Satin Lime,#33ee00,0.826590,-0.213989,0.171150
217,c217,Vaporwave Blue,Vaporwave Blue,#22ddff,0.827405,-0.116334,-0.080435
218,c218,Wasabi,Wasabi,#afd77f,0.830136,-0.076802,0.095752
219,c219,Beloved Sunflower,Beloved Sunflower Yellow,#ffba24,0.831677,0.028092,0.162346
220,c220,Fake Jade,Fake Jade,#13eac9,0.838894,-0.153130,0.006977
221,c221,Jigglypuff,Jigglypuff Magenta,#ffaaff,0.847892,0.122200,-0.080061
222,c222,Bitter Melon,Bitter Melon Yellow,#cfd1b2,0.850936,-0.014467,0.039160
223,c223,Candy Bar,Candy Bar Pink,#ffb7d5,0.854865,0.090299,-0.011914
